name,aperture,height,price,offsetX,offsetY,offsetZ,xshift,rot_angleZ,rot_angleY,rot_angleX
,,,,,,,,,,
KS4,101.6,72.4,260.43,20,-72.5,-72,20.115,90,0,90
,,,,,,,,,,
POLARIS-K05,12.7,12.7,147.15,9,0.3,0,12.5,90,0,90
,,,,,,,,,,
KM05_M,12.7,14.7,38.34,2,1.25,0.5,11.3,-90,0,90
,,,,,,,,,,
KM05CP_M,12.7,21.1,79.4,15,-16.1,-16,0.2,-90,0,90
,,,,,,,,,,
POLARIS-K1,25.4,25.4,151.57,19,-0.5,-0.5,16,-90,0,90
,,,,,,,,,,
KM100CP_M,25.4,31.8,74.64,0,0,-1,1,90,0,180
,,,,,,,,,,
KS1,25.4,25.4,90.51,-27,-9.9,-29,14.8,90,0,90
,,,,,,,,,,
POLARIS-K15S4,38.1,31.8,231.76,-18,-25.3,-28.5,15.3,90,0,90
,,,,,,,,,,
POLARIS-K15VS2,38.1,31.8,572.67,-18,-25.3,-28.5,15.3,90,0,90
,,,,,,,,,,
POLARIS-K2,50.8,35.6,286.89,-30,-25.3,-40.5,21.3,90,0,90
,,,,,,,,,,
KS2,50.8,39.6,138.69,25.05,-39.6,-39,17.3,90,0,90
,,,,,,,,,,
KM200CP_M,50.8,47,106.92,16,-20.75,-20.75,-0.5,0,90,90
,,,,,,,,,,
POLARIS-K3S5,76.2,50.8,570.84,-63,-50.85,-49.5,21.8,90,0,90
,,,,,,,,,,
KS3,76.2,54.1,200.08,-4,-28.25,-39,19.75,90,0,90
,,,,,,,,,,
KMSS,4,15.88,37.05,3.50,0,0,12.86,90,0,90
